ABC de Ventas     Del 01/09/2025 al 30/09/2025	ABC de Ventas     Del 01/09/2025 al 30/09/2025	ABC de Ventas     Del 01/09/2025 al 30/09/2025	ABC de Ventas     Del 01/09/2025 al 30/09/2025	ABC de Ventas     Del 01/09/2025 al 30/09/2025	ABC de Ventas     Del 01/09/2025 al 30/09/2025	ABC de Ventas     Del 01/09/2025 al 30/09/2025	ABC de Ventas     Del 01/09/2025 al 30/09/2025	ABC de Ventas     Del 01/09/2025 al 30/09/2025	ABC de Ventas     Del 01/09/2025 al 30/09/2025
Código	Descripción	Unidades	Importe Total	Importe Total  I.I.	% Venta	% Acumu.	Fecha Ult.Vta.	Beneficio B.I.	% Ben.
000166	TÉ CON LIMÓN	"14,00"	"28,00"	"30,80"	"0,27"	"58,82"	30/09/2025	"28,00"	"100,00"
000167	TÉ CON LECHE	"43,00"	"115,32"	"126,85"	"1,10"	"59,92"	30/09/2025	"115,32"	"100,00"
000168	CHOCOLATE SUIZO	"4,00"	"11,27"	"12,40"	"0,11"	"60,03"	29/09/2025	"11,27"	"100,00"
000170	CAFÉ CON HIELO	"202,00"	"422,36"	"464,60"	"4,05"	"64,07"	30/09/2025	"422,36"	"100,00"
000171	CORTADO	"171,00"	"324,55"	"357,00"	"3,11"	"67,18"	30/09/2025	"324,55"	"100,00"
000173	TAZA DE LECHE	"20,00"	"30,91"	"34,00"	"0,30"	"67,48"	28/09/2025	"30,91"	"100,00"
000174	CHOCOLATE	"6,00"	"16,36"	"18,00"	"0,16"	"67,64"	30/09/2025	"16,36"	"100,00"
000175	CARAJILLO	"28,00"	"73,82"	"81,20"	"0,71"	"68,34"	30/09/2025	"73,82"	"100,00"
000176	AMERICANO	"342,00"	"618,18"	"680,00"	"5,92"	"74,27"	30/09/2025	"618,18"	"100,00"
000528	SHAKERATO	"7,00"	"19,09"	"21,00"	"0,18"	"74,45"	21/09/2025	"19,09"	"100,00"
000529	LATTE MACCHIATO ACARAMELADO	"37,00"	"117,82"	"129,60"	"1,13"	"75,58"	30/09/2025	"117,82"	"100,00"
000530	SHAKERATO CON BAILEYS	"22,00"	"74,00"	"81,40"	"0,71"	"76,29"	28/09/2025	"74,00"	"100,00"
000531	LATTE MACCHIATO ACHOCOLATADO	"9,00"	"29,45"	"32,40"	"0,28"	"76,57"	29/09/2025	"29,45"	"100,00"
000532	ICED CAFÉ	"38,00"	"150,27"	"165,30"	"1,44"	"78,01"	30/09/2025	"150,27"	"100,00"
000533	BELLAGIO	"1,00"	"3,95"	"4,35"	"0,04"	"78,05"	03/09/2025	"3,95"	"100,00"
000534	LATTE MACCHIATO ALMENDRADO	"8,00"	"26,18"	"28,80"	"0,25"	"78,30"	25/09/2025	"26,18"	"100,00"
000535	LATTE MACCHIATO	"86,00"	"236,73"	"260,40"	"2,27"	"80,56"	30/09/2025	"236,73"	"100,00"
000536	IRLANDES	"11,00"	"49,50"	"54,45"	"0,47"	"81,04"	22/09/2025	"49,50"	"100,00"
000537	ROYAL	"2,00"	"9,00"	"9,90"	"0,09"	"81,12"	20/09/2025	"9,00"	"100,00"
