fecha,tmed,tmax,tmin,prec,velmedia,racha,sol,hrMedia,temp_categoria,humedad_categoria,lluvia_categoria,cielo_categoria,viento_categoria,descripcion_dia,día,desayunos,almuerzos,cenas,mes,nº se,año
2025-02-13,17.2,21.9,12.5,0.0,4.2,13.9,5.9,53.0,Agradable,Húmedo,Sin lluvia,Parcialmente soleado,Brisa,"Agradable, Húmedo, Brisa, Parcialmente soleado.",Viernes,130.0,67.0,80,2,6,2025
2025-02-14,12.6,18.6,6.6,0.0,3.9,7.8,9.3,76.0,Frío,Húmedo,Sin lluvia,Soleado,Brisa,"Frío, Húmedo, Brisa, Soleado.",Sábado,200.0,73.0,42,2,6,2025
2025-02-15,13.3,17.6,9.0,0.0,3.6,10.8,8.6,79.0,Frío,Húmedo,Sin lluvia,Soleado,Brisa,"Frío, Húmedo, Brisa, Soleado.",Domingo,205.0,111.0,55,2,7,2025
2025-02-16,12.1,17.1,7.1,0.0,3.3,7.8,6.2,78.0,Frío,Húmedo,Sin lluvia,Soleado,Brisa,"Frío, Húmedo, Brisa, Soleado.",Lunes,111.0,59.0,77,2,7,2025
2025-02-17,12.2,17.5,6.9,0.0,3.3,7.2,8.9,86.0,Frío,Húmedo,Sin lluvia,Soleado,Brisa,"Frío, Húmedo, Brisa, Soleado.",Martes,112.0,17.0,100,2,7,2025
2025-02-18,12.5,19.1,5.9,0.0,2.8,8.3,9.3,84.0,Frío,Húmedo,Sin lluvia,Soleado,Brisa,"Frío, Húmedo, Brisa, Soleado.",Miércoles,103.0,34.0,63,2,7,2025
2025-02-19,13.4,17.3,9.4,0.0,3.3,6.7,6.8,88.0,Frío,Húmedo,Sin lluvia,Soleado,Brisa,"Frío, Húmedo, Brisa, Soleado.",Jueves,90.0,66.0,64,2,7,2025
2025-02-20,13.3,17.4,9.2,0.0,3.1,8.9,3.7,82.0,Frío,Húmedo,Sin lluvia,Parcialmente soleado,Brisa,"Frío, Húmedo, Brisa, Parcialmente soleado.",Viernes,91.0,23.0,39,2,7,2025
2025-02-21,12.5,16.0,9.0,9.1,4.4,13.9,1.1,79.0,Frío,Húmedo,Lluvia notable,Lluvioso,Brisa,"Frío, Húmedo, Brisa, Lluvioso.",Sábado,120.0,55.0,48,2,7,2025
2025-02-22,13.0,18.0,8.0,0.0,4.4,11.7,10.1,52.0,Frío,Húmedo,Sin lluvia,Soleado,Brisa,"Frío, Húmedo, Brisa, Soleado.",Domingo,159.0,125.0,38,2,8,2025
2025-02-23,12.6,18.4,6.8,0.0,4.2,10.3,9.5,70.0,Frío,Húmedo,Sin lluvia,Soleado,Brisa,"Frío, Húmedo, Brisa, Soleado.",Lunes,91.0,42.0,90,2,8,2025
2025-02-24,16.2,18.4,13.9,0.0,5.8,11.4,3.4,78.0,Agradable,Húmedo,Sin lluvia,Parcialmente soleado,Brisa,"Agradable, Húmedo, Brisa, Parcialmente soleado.",Martes,114.0,46.0,98,2,8,2025
