ABC de Ventas     Del 01/05/2025 al 31/05/2025	ABC de Ventas     Del 01/05/2025 al 31/05/2025	ABC de Ventas     Del 01/05/2025 al 31/05/2025	ABC de Ventas     Del 01/05/2025 al 31/05/2025	ABC de Ventas     Del 01/05/2025 al 31/05/2025	ABC de Ventas     Del 01/05/2025 al 31/05/2025	ABC de Ventas     Del 01/05/2025 al 31/05/2025	ABC de Ventas     Del 01/05/2025 al 31/05/2025	ABC de Ventas     Del 01/05/2025 al 31/05/2025	ABC de Ventas     Del 01/05/2025 al 31/05/2025
Código	Descripción	Unidades	Importe Total	Importe Total  I.I.	% Venta	% Acumu.	Fecha Ult.Vta.	Beneficio B.I.	% Ben.
001768	COSTILLA DE CERDO	"73,00"	"1.028,50"	"1.131,35"	"2,78"	"74,26"	31/05/2025	"1.028,50"	"100,00"
001798	REBANÁ	"55,00"	"497,50"	"547,25"	"1,34"	"75,60"	31/05/2025	"497,50"	"100,00"
001799	POLLO CAJÚN	"128,00"	"1.157,82"	"1.273,60"	"3,13"	"78,73"	31/05/2025	"1.157,82"	"100,00"
001800	BASTONES DE BONIATO	"178,00"	"1.133,73"	"1.247,10"	"3,06"	"81,79"	31/05/2025	"1.133,73"	"100,00"
001802	CUBIERTA DE CHEDAR	"27,00"	"36,82"	"40,50"	"0,10"	"81,89"	31/05/2025	"36,82"	"100,00"
001803	HUEVO FRITO BURGUER	"29,00"	"39,55"	"43,50"	"0,11"	"82,00"	31/05/2025	"39,55"	"100,00"
001804	LOMO ALTO	"53,00"	"1.009,41"	"1.110,35"	"2,73"	"84,72"	30/05/2025	"1.009,41"	"100,00"
001805	PESCADO PLANCHA	"144,00"	"2.035,27"	"2.238,80"	"5,50"	"90,22"	31/05/2025	"2.035,27"	"100,00"
001813	SUG_2 10.95	"37,00"	"368,32"	"405,15"	"0,99"	"91,21"	30/05/2025	"368,32"	"100,00"
001816	SUG_5 13.95	"58,00"	"735,55"	"809,10"	"1,99"	"93,20"	19/05/2025	"735,55"	"100,00"
001817	SUG_6 14.95	"67,00"	"910,59"	"1.001,65"	"2,46"	"95,66"	31/05/2025	"910,59"	"100,00"
001818	SUG_7 15.95	"1,00"	"14,50"	"15,95"	"0,04"	"95,70"	24/05/2025	"14,50"	"100,00"
001819	SUG_8 16.95	"81,00"	"1.248,14"	"1.372,95"	"3,37"	"99,07"	31/05/2025	"1.248,14"	"100,00"
001822	Mayonesa Acomp.	"163,00"	"0,00"	"0,00"	"0,00"	"99,07"	31/05/2025	"0,00"	"0,00"
001823	Ketchup Acomp.	"118,00"	"0,00"	"0,00"	"0,00"	"99,07"	31/05/2025	"0,00"	"0,00"
001824	Guacamole Acomp	"58,00"	"0,00"	"0,00"	"0,00"	"99,07"	31/05/2025	"0,00"	"0,00"
001825	S Brava Acomp	"6,00"	"0,00"	"0,00"	"0,00"	"99,07"	28/05/2025	"0,00"	"0,00"
001826	S. Mayo-Miel Acomp.	"1,00"	"0,00"	"0,00"	"0,00"	"99,07"	28/05/2025	"0,00"	"0,00"
001827	Salsa 2.0 Acomp.	"2,00"	"0,00"	"0,00"	"0,00"	"99,07"	28/05/2025	"0,00"	"0,00"
001832	SUG_9 17.95	"1,00"	"16,32"	"17,95"	"0,04"	"99,12"	17/05/2025	"16,32"	"100,00"
001834	SUG_10 18.95	"19,00"	"327,32"	"360,05"	"0,88"	"100,00"	30/05/2025	"327,32"	"100,00"
	CERVEZAS								
000129	MAHOU 33CL	"829,00"	"2.402,68"	"2.642,95"	"18,68"	"18,68"	31/05/2025	"2.402,68"	"100,00"
000131	CORONITAS	"154,00"	"511,64"	"562,80"	"3,98"	"22,66"	31/05/2025	"511,64"	"100,00"
000147	SAN MIGUEL 00	"38,00"	"105,55"	"116,10"	"0,82"	"23,48"	30/05/2025	"105,55"	"100,00"
000578	SAN MIGUEL ESPECIAL	"45,00"	"129,09"	"142,00"	"1,00"	"24,48"	31/05/2025	"129,09"	"100,00"
000630	PACK ALHAMBRA	"20,00"	"150,00"	"165,00"	"1,17"	"25,65"	31/05/2025	"150,00"	"100,00"
000631	PACK MAHOU	"17,00"	"130,36"	"143,40"	"1,01"	"26,66"	31/05/2025	"130,36"	"100,00"
000754	CAÑITA 5 ESTRELLAS	"1.330,00"	"3.133,86"	"3.447,25"	"24,36"	"51,02"	31/05/2025	"3.133,86"	"100,00"
000755	JARRA 5 ESTRELLAS	"569,00"	"2.242,73"	"2.467,00"	"17,43"	"68,46"	31/05/2025	"2.242,73"	"100,00"
000825	CLARA LIMON	"65,00"	"135,29"	"163,70"	"1,05"	"69,51"	30/05/2025	"135,29"	"100,00"
000826	CLARA CASERA	"12,00"	"21,82"	"26,40"	"0,17"	"69,68"	31/05/2025	"21,82"	"100,00"
001218	MAESTRA 33CL	"34,00"	"123,27"	"135,60"	"0,96"	"70,63"	31/05/2025	"123,27"	"100,00"
001313	MAHOU SIN GLUTEN	"40,00"	"132,59"	"145,85"	"1,03"	"71,67"	31/05/2025	"132,59"	"100,00"
001319	CAÑA MAESTRA	"94,00"	"265,27"	"291,80"	"2,06"	"73,73"	31/05/2025	"265,27"	"100,00"
001320	JARRA MAESTRA	"19,00"	"89,50"	"98,45"	"0,70"	"74,42"	30/05/2025	"89,50"	"100,00"
001444	RADLER MAHOU	"49,00"	"131,41"	"144,55"	"1,02"	"75,45"	31/05/2025	"131,41"	"100,00"
001459	CAÑA SIN	"1,00"	"1,68"	"1,85"	"0,01"	"75,46"	16/05/2025	"1,68"	"100,00"
001481	SAN MIGUEL MAGNA	"18,00"	"49,00"	"53,90"	"0,38"	"75,84"	31/05/2025	"49,00"	"100,00"
001597	San Miguel 0.0	"86,00"	"246,09"	"270,70"	"1,91"	"77,75"	31/05/2025	"246,09"	"100,00"
001643	JARRA CLARA	"4,00"	"15,18"	"16,70"	"0,12"	"77,87"	30/05/2025	"15,18"	"100,00"
001662	STELLA ARTOIS	"13,00"	"34,86"	"38,35"	"0,27"	"78,14"	28/05/2025	"34,86"	"100,00"
001663	ALHAMBRA 1925	"568,00"	"1.878,55"	"2.066,40"	"14,60"	"92,74"	31/05/2025	"1.878,55"	"100,00"
