ABC de Ventas     Del 01/06/2025 al 30/06/2025	ABC de Ventas     Del 01/06/2025 al 30/06/2025	ABC de Ventas     Del 01/06/2025 al 30/06/2025	ABC de Ventas     Del 01/06/2025 al 30/06/2025	ABC de Ventas     Del 01/06/2025 al 30/06/2025	ABC de Ventas     Del 01/06/2025 al 30/06/2025	ABC de Ventas     Del 01/06/2025 al 30/06/2025	ABC de Ventas     Del 01/06/2025 al 30/06/2025	ABC de Ventas     Del 01/06/2025 al 30/06/2025	ABC de Ventas     Del 01/06/2025 al 30/06/2025
Código	Descripción	Unidades	Importe Total	Importe Total  I.I.	% Venta	% Acumu.	Fecha Ult.Vta.	Beneficio B.I.	% Ben.
001805	PESCADO PLANCHA	"151,00"	"2.189,50"	"2.408,45"	"5,51"	"92,54"	30/06/2025	"2.189,50"	"100,00"
001812	SUG_1 9.95	"2,00"	"18,09"	"19,90"	"0,05"	"92,59"	26/06/2025	"18,09"	"100,00"
001813	SUG_2 10.95	"46,00"	"457,91"	"503,70"	"1,15"	"93,74"	30/06/2025	"457,91"	"100,00"
001814	SUG_3 11.95	"19,00"	"206,41"	"227,05"	"0,52"	"94,26"	15/06/2025	"206,41"	"100,00"
001815	SUG_4 12.95	"28,00"	"329,64"	"362,60"	"0,83"	"95,09"	30/06/2025	"329,64"	"100,00"
001816	SUG_5 13.95	"8,00"	"101,45"	"111,60"	"0,26"	"95,34"	28/06/2025	"101,45"	"100,00"
001817	SUG_6 14.95	"77,00"	"1.046,50"	"1.151,15"	"2,63"	"97,97"	30/06/2025	"1.046,50"	"100,00"
001818	SUG_7 15.95	"12,00"	"174,00"	"191,40"	"0,44"	"98,41"	19/06/2025	"174,00"	"100,00"
001819	SUG_8 16.95	"16,00"	"246,55"	"271,20"	"0,62"	"99,03"	09/06/2025	"246,55"	"100,00"
001822	Mayonesa Acomp.	"249,00"	"0,00"	"0,00"	"0,00"	"99,03"	29/06/2025	"0,00"	"0,00"
001823	Ketchup Acomp.	"237,00"	"0,00"	"0,00"	"0,00"	"99,03"	30/06/2025	"0,00"	"0,00"
001824	Guacamole Acomp	"164,00"	"0,00"	"0,00"	"0,00"	"99,03"	30/06/2025	"0,00"	"0,00"
001825	S Brava Acomp	"3,00"	"0,00"	"0,00"	"0,00"	"99,03"	22/06/2025	"0,00"	"0,00"
001826	S. Mayo-Miel Acomp.	"1,00"	"0,00"	"0,00"	"0,00"	"99,03"	23/06/2025	"0,00"	"0,00"
001827	Salsa 2.0 Acomp.	"1,00"	"0,00"	"0,00"	"0,00"	"99,03"	07/06/2025	"0,00"	"0,00"
