ABC de Ventas     Del 01/08/2025 al 31/08/2025	ABC de Ventas     Del 01/08/2025 al 31/08/2025	ABC de Ventas     Del 01/08/2025 al 31/08/2025	ABC de Ventas     Del 01/08/2025 al 31/08/2025	ABC de Ventas     Del 01/08/2025 al 31/08/2025	ABC de Ventas     Del 01/08/2025 al 31/08/2025	ABC de Ventas     Del 01/08/2025 al 31/08/2025	ABC de Ventas     Del 01/08/2025 al 31/08/2025	ABC de Ventas     Del 01/08/2025 al 31/08/2025	ABC de Ventas     Del 01/08/2025 al 31/08/2025
Código	Descripción	Unidades	Importe Total	Importe Total  I.I.	% Venta	% Acumu.	Fecha Ult.Vta.	Beneficio B.I.	% Ben.
001908	Al Punto	"33,00"	"0,00"	"0,00"	"0,00"	"100,00"	28/08/2025	"0,00"	"0,00"
001909	Punto Más	"7,00"	"0,00"	"0,00"	"0,00"	"100,00"	30/08/2025	"0,00"	"0,00"
001910	Muy Hecho	"4,00"	"0,00"	"0,00"	"0,00"	"100,00"	24/08/2025	"0,00"	"0,00"
001911	Pollo empanado	"124,00"	"0,00"	"0,00"	"0,00"	"100,00"	31/08/2025	"0,00"	"0,00"
001912	Pollo plancha	"25,00"	"0,00"	"0,00"	"0,00"	"100,00"	30/08/2025	"0,00"	"0,00"
001913	Patatas fritas	"123,00"	"0,00"	"0,00"	"0,00"	"100,00"	31/08/2025	"0,00"	"0,00"
001914	Arroz	"25,00"	"0,00"	"0,00"	"0,00"	"100,00"	28/08/2025	"0,00"	"0,00"
001943	CUBIERTOS_PLAYA	"31,00"	"0,00"	"0,00"	"0,00"	"100,00"	27/08/2025	"0,00"	"0,00"
001962	Huevo frito infantil	"1,00"	"0,00"	"0,00"	"0,00"	"100,00"	30/08/2025	"0,00"	"0,00"
	CERVEZAS								
000129	MAHOU 33CL	"1.165,00"	"3.495,00"	"3.844,50"	"19,70"	"19,70"	31/08/2025	"3.495,00"	"100,00"
000131	CORONITAS	"207,00"	"696,27"	"765,90"	"3,92"	"23,62"	31/08/2025	"696,27"	"100,00"
000147	SAN MIGUEL 00	"49,00"	"142,55"	"156,80"	"0,80"	"24,43"	31/08/2025	"142,55"	"100,00"
000578	SAN MIGUEL ESPECIAL	"73,00"	"212,36"	"233,60"	"1,20"	"25,62"	31/08/2025	"212,36"	"100,00"
000630	PACK ALHAMBRA	"59,00"	"440,77"	"484,85"	"2,48"	"28,11"	30/08/2025	"440,77"	"100,00"
000631	PACK MAHOU	"111,00"	"857,73"	"943,50"	"4,83"	"32,94"	30/08/2025	"857,73"	"100,00"
000754	CAÑITA 5 ESTRELLAS	"1.452,00"	"3.498,00"	"3.847,80"	"19,72"	"52,66"	31/08/2025	"3.498,00"	"100,00"
000755	JARRA 5 ESTRELLAS	"755,00"	"3.088,64"	"3.397,50"	"17,41"	"70,06"	31/08/2025	"3.088,64"	"100,00"
000825	CLARA LIMON	"72,00"	"157,69"	"190,80"	"0,89"	"70,95"	31/08/2025	"157,69"	"100,00"
000826	CLARA CASERA	"7,00"	"12,73"	"15,40"	"0,07"	"71,03"	24/08/2025	"12,73"	"100,00"
001218	MAESTRA 33CL	"23,00"	"83,64"	"92,00"	"0,47"	"71,50"	29/08/2025	"83,64"	"100,00"
001313	MAHOU SIN GLUTEN	"68,00"	"216,36"	"238,00"	"1,22"	"72,72"	31/08/2025	"216,36"	"100,00"
001319	CAÑA MAESTRA	"138,00"	"401,45"	"441,60"	"2,26"	"74,98"	31/08/2025	"401,45"	"100,00"
001320	JARRA MAESTRA	"32,00"	"160,00"	"176,00"	"0,90"	"75,88"	30/08/2025	"160,00"	"100,00"
001444	RADLER MAHOU	"91,00"	"244,05"	"268,45"	"1,38"	"77,26"	31/08/2025	"244,05"	"100,00"
001481	SAN MIGUEL MAGNA	"15,00"	"43,64"	"48,00"	"0,25"	"77,50"	28/08/2025	"43,64"	"100,00"
001597	San Miguel 0.0	"40,00"	"116,36"	"128,00"	"0,66"	"78,16"	31/08/2025	"116,36"	"100,00"
001643	JARRA CLARA	"14,00"	"57,27"	"63,00"	"0,32"	"78,48"	30/08/2025	"57,27"	"100,00"
001662	STELLA ARTOIS	"16,00"	"42,91"	"47,20"	"0,24"	"78,72"	28/08/2025	"42,91"	"100,00"
001663	ALHAMBRA 1925	"826,00"	"2.764,91"	"3.041,40"	"15,58"	"94,31"	31/08/2025	"2.764,91"	"100,00"
001664	BUDWAISER	"62,00"	"197,27"	"217,00"	"1,11"	"95,42"	31/08/2025	"197,27"	"100,00"
001665	MAHOU IPA	"4,00"	"16,36"	"18,00"	"0,09"	"95,51"	31/08/2025	"16,36"	"100,00"
001666	FRANZISKANER 	"24,00"	"98,18"	"108,00"	"0,55"	"96,06"	30/08/2025	"98,18"	"100,00"
001667	LEFFE BLONDE	"4,00"	"16,36"	"18,00"	"0,09"	"96,16"	26/08/2025	"16,36"	"100,00"
001697	Caña Llevar	"17,00"	"47,91"	"52,70"	"0,27"	"96,43"	27/08/2025	"47,91"	"100,00"
001808	"MAHOU 0,0 TOSTADA"	"205,00"	"596,36"	"656,00"	"3,36"	"99,79"	31/08/2025	"596,36"	"100,00"
001820	MAHOU SIN FILTRAR	"11,00"	"35,00"	"38,50"	"0,20"	"99,98"	24/08/2025	"35,00"	"100,00"
001833	SAN MIGUEL ED. ALUMINIO	"1,00"	"2,91"	"3,20"	"0,02"	"100,00"	07/08/2025	"2,91"	"100,00"
	CAFES E INFUSIONES								
000148	ESPRESSO	"335,00"	"607,27"	"668,00"	"5,76"	"5,76"	31/08/2025	"607,27"	"100,00"
000149	CAFÉ CON LECHE	"1.861,00"	"4.054,18"	"4.459,60"	"38,43"	"44,19"	31/08/2025	"4.054,18"	"100,00"
000150	ESPRESSO MACCHIATO	"10,00"	"20,00"	"22,00"	"0,19"	"44,38"	31/08/2025	"20,00"	"100,00"
000151	CAFÉ HIELO BAYLEIS	"78,00"	"195,00"	"214,50"	"1,85"	"46,23"	31/08/2025	"195,00"	"100,00"
000153	CAPPUCCINO ITALIANO	"245,00"	"576,73"	"634,40"	"5,47"	"51,69"	31/08/2025	"576,73"	"100,00"
000155	COLA CAO	"109,00"	"198,18"	"218,00"	"1,88"	"53,57"	31/08/2025	"198,18"	"100,00"
000156	TÉ	"163,00"	"370,45"	"407,50"	"3,51"	"57,08"	31/08/2025	"370,45"	"100,00"
000157	MENTA POLEO	"12,00"	"27,27"	"30,00"	"0,26"	"57,34"	31/08/2025	"27,27"	"100,00"
000159	MANZANILLA	"12,00"	"27,27"	"30,00"	"0,26"	"57,60"	31/08/2025	"27,27"	"100,00"
000160	leche soja	"76,00"	"6,91"	"7,60"	"0,07"	"57,67"	31/08/2025	"6,91"	"100,00"
000164	TÉ EN LECHE	"12,00"	"30,55"	"33,60"	"0,29"	"57,96"	30/08/2025	"30,55"	"100,00"
000165	TÉ CON CANELA	"3,00"	"8,05"	"8,85"	"0,08"	"58,03"	27/08/2025	"8,05"	"100,00"
000166	TÉ CON LIMÓN	"4,00"	"8,00"	"8,80"	"0,08"	"58,11"	31/08/2025	"8,00"	"100,00"
000167	TÉ CON LECHE	"26,00"	"69,73"	"76,70"	"0,66"	"58,77"	31/08/2025	"69,73"	"100,00"
000168	CHOCOLATE SUIZO	"2,00"	"5,64"	"6,20"	"0,05"	"58,82"	30/08/2025	"5,64"	"100,00"
